Text,Solving a communicative task,Text structure,Use of English (for emails),Overall_score
"Dear Nora, +
 
 Thanks a lot for your email. I'm always happy to get messages from you. +
 
 In your email you asked me about my dreams +. Well, I have a lot of dreams, but I always call them goals because dreams for me something not achievable like fight to the moon. I have dreams in my future of business and in dancing career. And my the main dream is create very sociable, cheerful and supportive family. I consider in order to realise my wishes, I have to be ambitious, creative , patient, mature and stubborn person. But now i'm so quiet and i don't like sharing my dreams with my friends. I like to tell something when there is already a result.
 
 By the way , tell me more about your brother. How old is he? What's his name? What is he like? +
 
 Sorry, I have to go now. Drop me a line. +
 
 Best wishes
 
 Kate",1.0,2.0,0.0,3
"Dear Nora,
 
  Thanks a lot for your recent email! I'm always happy to get messages from you.
 
  In your email you asked me about dreams. Well, I have some dreams, for example, I want to go to England with my family and jump with a parachute. I hope, that my dreams come true. As for personal qualities, I think that I need to be more industrious, ambitious and self-confident and then I'll get what I want. To be honest, you're the first person I've ever told about my dreams, because it's very personal topic for me.
 
  By the way, tell me more about your elder brother. What's his name? How old is he? How does he feel about active sports?
 
  Sorry, I have to go now. Write back soon.
 
  Best wishes,
 
  Anastasia",2.0,2.0,2.0,6
"Dear Nora, 
 
 I'm really happy to hear from you again.
 
 In your e-mail you asked me about my dreams. I have a lot of dreams. For example, I'm dreaming about large family and successsful career. To fulfill this dream I need very different personal qualities: I should be responsible and caring, generous and self-confident, I also should like children. My mom knows about my dreams, I told her about that because she is very supportive and we have good relationships. 
 
 In your e-mail you also told me about your elder brother's visit. What's your brother's name? What's color your brother's eyes? How old is your brother? 
 
 Now I need to go. Hope hear from you soon.
 
 Best wishes, 
 
 Irina",2.0,2.0,2.0,6
"Dear Nora,
 
 
 
 Thanks for your recent e-mail. I'm always glad to get messages from you.
 
 
 
 In your e-mail you asked me about dreams. Well, I think I have a lot of dreams. They are connected with my future. First of all, I dream of getting a higher education. Then I decided to find love at first and start a family. To make your dreams come true you need to be intelligent, ambitious, cheerful and sociable person. As for your last question, I prefer not to talk about my dreams with my friends because I’m afraid that they won’t come true.
 
 
 
  By the way, tell me more about your brother. what is your brother's character? How old is he? Is your brother tall?
 
 
 
 That’s all for now. Write me back asap.
 
 
 
 Yours, 
 
 
 
 Darina",2.0,2.0,2.0,6
"Dear Nora,
 
  Thanks for your recent letter. I'm always glad to get messages from you. 
 
  In your letter you asked me about my dreams. Well, I've a lot of them. I want to get a good education, become an in-demand specialist and start a family, when I grow up. I guess, that I need to be hard-working, diligent and patient to realise my dreams. Also, I should be kind and cheerful to communicate with people. Sometimes I feel really nervous about my ambitions. Fortunately, my mum and friends encourage me. I usually tell them about my wishes and aims.
 
  By the way, tell me more about your brother's hike. Where did he go? Did it take him a long time? What did he eat?
 
  Sorry, I need to go now. Drop me a line.
 
  Best wishes,
 
  Alla",1.0,2.0,2.0,5
"Dear Nora,
 
 Thanks a lot for your recent email. I'm always happy to get messages from you. +
 
 In your email you asked me about dreams. Well, I have a lot of dreams. For example, I want to travell all over the world and return to sports. I think I should be hard-working, ambitious, and stubborn to make my dreams come true. It goes without saying, I told my closest friends about dreams because I trust them very much. 
 
 By the way, tell me about your elder brother. Where he go hiking? Did he go hiking alone or with someone? Did he enjoy it? 
 
 That's all for now. Drop me a line.
 
 All the best,
 
 Katya",1.0,2.0,2.0,5
"Dear Nora,
 
 Thanks for your recent e-mail. It's always great to hear from you.
 
 Let me answer the questions you asked in your message. Well, as for my dreams, I have a dream of building a fulfilling career as well as a dream of making the ones I love jubilant and satisfied. As for your second question, in order to realise your wishes you have to be a self-conscious, thinking, consistent and persistent person. Lastly, I prefer to tell my Dad about my dreams because he helps me make them come true by giving priceful pieces of advice.
 
 By the way, you've mentioned your elder brother. How old is he? What does he look like? What does he do for a living?
 
 Sorry, I have to go now. My Granddad asked me to do the washing-up. Drop me a line.
 
 With love,
 
 Rimma",2.0,2.0,2.0,6
"Dear Nora,
 
 Thanks, for your recent e-mail. I'm always glad to get messages from you.
 
 In your e-mail you asked me about dreams. Well, I have a lot of dreams. For example, I dream of working as a journalist, moving to another country and buying a dog. In order to realise my wishes, I must be ambitious, industrious and patient. Apart from this, I believe that you need to tell other people about your dreams, because you can meet someone who can realise and help.
 
 By the way, tell me more about your elder brother. Did your elder brother go hiking alone or with friends? What kind of clothes and facilities did your elder brother need? What time did your elder brother go hiking?
 
 That's all for now. I helped my mom about the house. Drop me a line.
 
 Best wishes,
 
 Alyona",1.0,2.0,1.0,4
"Dear Nora,
 
  Thanks a lot for your recent email!. I’m always happy to get messages from you.
 
  In your emal you ask me about my dreams. Well, my main dreams are to move to St.Petersburg and to become a teacher. I assume that i need to be patient, hard-working, and self-confident to realise my wishes. Actually, i don’t tell anyone about my drems except some close friends because only they can back up all my decisions.
 
  By the way, tell me more about your elder brother’s hiking. Was he excited? Was he alone or with his friends? Would he like to go hiking again?
 
  Sorry, I have to go now. Drop me a line.
 
  Best wishes,
 
  Arina",1.0,2.0,1.0,4
"Dear Nora, +
 
 Thank you for your recent email. I’m always glad to get messages from you. +
 
 In your email you asked me to tell you about my dreams. Well, my most important dream now is to go to a good university. I also dream of modelling vintage dresses and suits. I think I need such personal qualities as ambition, creativity and self-confidence to realise my wishes. However, you shouldn't be very gullible to achieve your goals, that's why I only tell my family and close friends about my dreams because I can trust them. 
 
 
 
 By the way, tell me more about your elder brother. How old is he? What is his name? How often does he go hiking? +
 
 I have to go now. Write back soon. +
 
 Best wishes, +
 
 Kate",2.0,1.0,1.0,4
"Dear Nora,
Thanks for your recent email. I'm always glad to get messages from you.
In your email you asked me about dreams. Well, I have quite a lot of dreams, such as successful career and beautiful house in the mountains. However, I'm sure, that if you want to make your dreams come true you have to be a very ambitious and intelligent person. By the way, I think people shouldn't tell anyone about their dreams despite they will not come true.
By the way how old is your elder brother? How many years he is older than you? How is he look like?
I'm sorry about to stop writing, it's high time.
Best wishes,
Arina",1.0,2.0,1.0,4
"Dear Nora, +
 
 Thanks for your recent e-mail. I`m always glad to get messages from you. +
 
 In your e-mail you asked me about my dreams +. Well, I want to enter a decent university to study politics and economics. I also dream of travelling and making new friends. I realised that I need to be hard-working, patient, optimistic, and organised to realise my wishes. Of course, my dreams depend on my efforts. But in difficult times I need support, therefore I share my wishes with parents and close friends. I believe that they can always stand by me. It makes me feel confident about my dreams. +
 
 By the way, tell me about your elder brother. How old is your elder brother? What is he like? Does your brother like to go hiking? +
 
 That`s all for now. Drop me a line. +
 
 All the best, +
 
 Polina +",2.0,2.0,2.0,6
"Dear Nora, +
 
 Thanks for your recent email. I'm always glad to get messages from you.+
 
 In your email you ask me about my dreams.+ Well, as I'm a high graduate of the school my dreams based on my admission and moving to another city. I want to enroll in a good university and become an international lawyer. +To realize my cherished dreams I should channel my energy into study,be hard-working, and be responsible for my preparation to the state exams. And I sure that my close friends can help me to keep discipline during the preparation and they definitely support me anyway. That's why I can tell them about my dreams.+
 
 By the way, tell me more about your elder brother. How old is your brother?+ What does your brother look like?+ What hobbies does he have? +
 
 Sorry, I have to go now. Drop me a line.+
 
 With love,+
 
 Tserena +",2.0,2.0,1.0,5
"Dear Nora,
 
 Thanks for your recent e-mail. I'm always glad to get messages from you.
 
 In your e-mail you asked me about my dreams. So, now my biggest dream is to pass the exams. Also, I want to go to study abroad when I finish my school. To realise my wishes I should be hard-working, ambitious and patient. Of course, I tell my parents about my dreams because they always support me and give useful advice.
 
 By the way, tell me more about your elder brother. What does he look like? What's his name? How old is he?
 
 That's all for now. Drop me a line.
 
 Best wishes,
 
 Lera",2.0,2.0,2.0,6
"Dear Nora,
 
 Thank you for your recent email. I'm always glad to get messages from you.
 
 In your email you asked me questions about my dreams. Well, I dream about becoming a good lawyer in the future and work in a big company. What's more, I want to enter a university in Moscow. In my opinion, I need to be ambitious, patient and hard-working to realise all my wishes. To be honest, I don't tell anyone about my dreams, because I'm afraid that people will not support me.
 
 By the way, tell me more about your elder brother. How old is he? How is he look like? Does he live with you or on his own?
 
 Sorry, I have to go now. Write back soon
 
 Best wishes,
 
 Alena
 
 
 
 
 
 
 
 перепроверила это письмо сто раз, надеюсь, что сейчас лучше",1.0,2.0,1.0,4
"Dear Nora,+
 
 Thanks for your email. I was very glad to hear from you again.+
 
 In your email you asked me about my dreams. + Well, I have a few dreams. I want to live in Seoul and have a business. But the most important dream for me is good pass my exams.+ I think, I need to have some personal qualities to realise my wishes, such as ambitious, self-confident and hard-working. +Like the most people, I prefer to share dreams with others. I think, they can help to solve some problems connected with my dreams. +
 
 By the way, I'd like to know more about your elder brother. What is his name?+ How old is he?+ What does he look like?+
 
 Well, I need to go now, as I have got lots of homework to do.
 
 Best wishes,+
 
 Sasha+",2.0,2.0,0.0,4
"Dear Nora, 
 
 Thanks a lot for your email. I'm always glad to get messages from you! 
 
 In your email you asked me about dreams. Honestly, I have several dreams. My biggest dream is to get to my dream university, I'm dreaming about it my whole life. Also, I have some widespread dreams like visiting France, getting acquainted with foreigners, helping starving people in Africa. If I want all my dreams to come true, I must be level-headed and studious. Moreover, I should be organised and self-confident. All my friends and close people have dreams, we often tell each other about it. They always support my dreams and me. 
 
 By the way, tell me more about your elder brother. What does your brother look like? Does he take after your mum or dad? How old are your brother? 
 
 Sorry, I have to go. Drop me a line. 
 
 Best wishes, 
 
 Kate",2.0,2.0,2.0,6
"Dear Nora,
Thanks for your email! I'm always glad to receive new messages from you.
In the email you asked me about my dreams. Well, I have a lot of dreams to be [honest. For example, I want to travel all around the world, to start my own business, and to swim in the ocean. I think I need to be very hardworking, ambitious, and dedicated to realise all of them. When it comes to telling others about my dreams, I prefer to not do it, cause I think it's better to show our final results not dreams.
By the way, tell me more about your elder brother. How old is he? What does he look like? What hobbies does he have?
That's all for now. Drop me a line.
Best wishes,
Nastya",2.0,1.0,2.0,5
"Dear Nora,
 
 
 
 Thanks for your email.I’m always glad to get a message from you.
 
 
 
 In your email you asked me about dreams.Actually,I set real goals but sometimes I like dreaming of something.For instance,I would like to go to the USA and run my own business in my hometown.I suppose that I need to be more industrious and patient to realize my wishes.Well,I don’t tell anyone about my wishes because I’m afraid to jinx them. 
 
 
 
 By the way,tell me more about your elder brother.How old is he?What is he like?What’s his occupation?
 
 
 
 That’s all for now.Drop me a line.
 
 
 
 With love,
 
 
 
 Polina",2.0,2.0,2.0,6
"Dear Nora,
  Thanks for your recent e-mail. I’m always glad to get messages from you.
  In your e-mail you asked me about my dreams. Well, I want to travel a lot and see the world. I was always interested in learning new languages and cultures. In addition, I’m a big fan of Abel, known professionally as the Weeknd. His songs mean a lot to me and I want to go to his concert. Anyway, I need to be ambitious, strong-willed, and daring to realise my wishes. Besides, I tell my close circle of friends about my dreams. It gives me support and energy, they believe in me. 
  By the way, tell me more about your elder brother. What's his name? How old is he? What does your brother look like?
  That’s all for now. Drop me a line.
  Best wishes,
  Lilia",2.0,1.0,2.0,5
"Dear Nora,
 
 Thank you for your email. I was really glad to hear from you again.
 
 In your email you asked me about my dreams. I have such kind of dreams as going to a good university and travelling around the world. For example, to Spain, Switzerland, Italy, France, Germany, the USA, and many others. I reckon, in order to realise my dreams, I need such personal qualities as ambition, hard-work, self-confidence, as well as patience. In my opinion, personal qualities reveal a lot about a person's dreams. That's why I rarely talk about my dreams. Based on the qualities of my personality, people themselves understand my dreams and goals.
 
 And now tell me about your elder brother. What's his name? How old is he? What is your brother like?
 
 Sorry, I've got to go now. Please, drop me a line.
 
 Best wishes,
 
 Vary",1.0,2.0,0.0,3
"Dear Nora, +
 
  Thanks for your email. I was very glad to hear from you again. +
 
  In your email you ask me about my dreams.+ As for me, my the best ones are entering HSE Moscow and travelling a lot. In my opinion, I need to have such character traits as determined, intelligent and hardworking. Besides, I need to be adventurous and easy-going to realise my wishes. + Actually, I prefer to keep my wishes under my hat because there is a strong possibility that it will happen, so I can sometimes share my thoughts with my mum. + 
 
  By the way, tell me more about your elder brother. What is he like?+ What's his name?+ How old is your brother? +
 
  That's all for now. Drop me a line. +
 
  Best wishes,+
 
  Kseniya+",2.0,2.0,1.0,5
"Dear Nora,
 
 
 
  Thank you for your recent email. I was very glad to hear from you again!
 
 
 
  Now I’m ready to answer your questions. As for me, I have dreams about my future career and some pleasant things such as trips and purchases I want to make. I’m sure that it’s essential to be hard-working and show a lot of initiatives to do your best and make your dreams come true. Personally, I would rather keep my dreams in secret rather than telling about them right and left. I think so, because dreams are personal and some people are not worthy to hear them cause they don’t attach importance to them.
 
 
 
  By the way,tell me more about your elder brother. How old is he? What is his hobby? Does he have a girlfriend?)
 
  
 
  I think that’s all for now. Drop me a line!
 
 
 
  Best wishes, 
 
 
 
  Kate",2.0,2.0,1.0,5
"Dear Nora,
 
 
 
  Thank you for your recent email. I'm always glad to get messages from you.
 
 
 
 In your email you asked me some questions and now I want to answer them. Well, I have lots of dreams. Firstly, I want to pass the exams perfectly. Secondly, I want to study in Spain because it’s a beautiful country and I’m interested in Spanish culture. I think, I should be more easy-going and self assured to realise my wishes. As I wrote, I should be more gregarious, so I tell everyone who I know about my dreams. Furthermore, I get lots of support from them.
 
  
 
  By the way, tell me more about your elder brother. How old is he? Is he married? Did he enjoyed that hike?
 
 
 
  That’s all for now. Write back soon. 
 
  
 
 Best wishes,
 
 
 
  Lesiya",1.0,0.0,2.0,3
"Dear Nora, 
 
 Thank you for your recent email message. I hope you're doing well.
 
 In your email you asked me about dreams. Well, I have a lot of dreams. For example, I want to enter a good university in Moscow. Besides, I dream of a well-paid job in the future. I think, I should be intelligent, hard-working, ambitious and responsible to realise my wishes. Speaking of me, I don't tell anyone about my dreams, as I believe that if nobody knows about my wishes they'll have more chances to come true. 
 
 By the way, tell me more about your elder brother. How old is he? Does he work or study? How Does he look like?
 
 That's all for now. Drop me a line.
 
 All the best, 
 
 Sofa",2.0,1.0,2.0,5
"Dear Nora,
 
 Thanks a lot for your recent email! I'm always happy to get messages from you. +
 
 In your email you asked me about dreams. Well, I have lots of dreams but my main dream is entering the law university. As for personal qualities, I have to be hard-working, strong-willed and determined. I have to work hard to realise my wishes. Honestly, I don't tell anyone about my dreams because I think someone can consider that it's too gulliable. I'm afraid of being criticised. +++
 
 By the way, tell me more about your elder brother. How old is he? Does he have dark or blue eyes? What is he like? +++
 
 Sorry, I have to go now. Drop me a line.
 
 Love,
 
 Katya",2.0,2.0,2.0,6
"Dear Nora, 
 
 Thank you for your email message. I'm always happy to hear from you.
 
 In your email you asked me about dreams. I've a dream to move to Moscow and enter a university there, also I want to travel a lot and settle down abroad. To make these dreams come true I have to be ambitious, industrious, energetic, flexible and I'll do my best to fulfill all the wishes. It seems to me that it's not necessary to tell people what my dreams are and how I'll realize them, because it's something personal for me, so I don't usually share about my desires with anybody.
 
 By the way, tell me more about your elder brother. What's his name? How old is he? What is he like?
 
 Sorry, I have to go now. Write me back soon. 
 
 Best wishes,
 
 Vika",2.0,2.0,2.0,6
"Dear Nora, +
 
 Thanks for your recent email. I'm always glad to get messages from you. +
 
 In your email you asked me about my dreams +. Well, I have a lot of different dreams. For instance, there are career, travel and some personal dreams. To tell the truth, the most important dream is to go to the Moscow University. Actually, I need responsibility, ambition and patience to realise my wishes. Honestly, I only tell to my family about my dreams because I trust them most. + (and I know that they will never tell other people about my dreams; I know they will always support me/will always lend me a helping hand whenever I need it)
 
 By the way, tell me more about your elder brother. What is he like? What hobbies does he have? What kind of music does he like? +
 
 That's all for me now. Drop me a line. +
 
 Best wishes, +
 
 Kamilla +",2.0,2.0,1.0,5
"Dear Nora, +
 
 Thanks for your email. I'm always glad to get messages from you. +
 
 In your email you asked me about my dreams + . Well, I would say that I have different types of dreams. Sometimes, I dream about having a wide circle of friends , at other times I really wish I hadn't so heavy workload. Anyway it's difficult for me to make my dreams real, because I often give up my goals without getting fast results .Therefore I reckon that I need to be ambitious and patient to realise my wishes . Being honestly I consider my dreams as something very private so I don't tell even my immediate family about those .
 
 By the way,tell me more about your elder brother. What does he look like? How old is he ?Does he have any hobbies ?
 
 That's all for now.Drop me a line .
 
 Lots of love,
 
 Sonya",2.0,2.0,0.0,4
"Hi Nora,
 
 Thank you for your recent email. It`s nice to hear from you again.
 
 In your message you asked me about my dreams. Well, I dream of having a cat and studying in the best university of our city. I can`t have a cat because I`m allergetic to fur, but I can pass my exams that good that I can study wherever I want. I have to be hard-working and ambitious, if I want this dream come true. Actually, I`m not afraid of telling my dreams to people. I don`t think my friends can tell somebody my secrets.
 
 By the way, you wrote me about your elder brother. What is your brother like? Is he tall or short? What does he look like?
 
 That`s all for now. Write back soon.
 
 Best wishes,
 
 Dasha",2.0,2.0,2.0,6
"Dear Nora, +
 
 Thanks a lot for your recent email. It's always nice to hear from you. +
 
 In your email you asked me about my dreams +. Well, I think that almost everyone dreams of something and I'm no exception. Passing exams with flying colors and moving to another city are the most cherished dreams that I have. In order to realize these wishes, I need such personal qualities as studiousness, patience and self-assurance. Besides, I believe that support is also essential, that's why I tell my parents about my dreams. They will always lend me a helping hand, if it is necessary. 
 
 By the way, tell me more about your elder brother. What is he like? What hobbies does your elder brother have? Does he like hiking? +
 
 That's all for now. Hope to hear from you soon. +
 
 Best wishes, +
 
 Nastya +",2.0,2.0,2.0,6
"Dear Nora,
 
 Thanks for your recent email. I'm always glad to get messages from you.
 
 In your email you asked me about my dreams. Well, my first dream is to travel a lot. I'm counting down the days until I can finally visit Asia. My second drem is to live overseas. I need to be industrious and ambitious to realise my wishes. I think that support from my close people is so important to me. That's why I tell my mum and dad about my dreams. They're always there for me and they can stand by me in difficult situations on the way to my dreams.
 
 By the way, tell me more about your brother. How old is he? What is he look like? Is he generous or mean?
 
 That's all for now. Drop me a line.
 
 Best wishes,
 
 Mary",2.0,2.0,2.0,6
"Dear Ralph,
 
 Thank you for your resent email. I was very glad to hear from you again .
 
 Oh, it's so sad that you've quarrelled with your dad! As for me, I were you, I'd talk to my father and try to find a compromise. Actually, I sometimes have arguments with my family members because we may have different views on some issues. Nevertheless, they always support me when I have problems and they listen openly to me.
 
 Now, I'd like to know more about your new classmate. What's her name ? How old is she?What's her hobby ? 
 
 That's all for now. Hope to hear from you soon !
 
 All the best, 
 
 Siranush",2.0,2.0,2.0,6
"Dear Ralph,
 
 Thanks a lot for your recent email! I'm always happy to get messages from you.
 
 In your email you asked me about conflict situations. If I were you, I would listen openly to my dad and try to explain my point of view. As for me, I seldom argue with my family members because we always support each other and spend quality time together. However, it's important to understand that there will always be arguments from time to time. Certainly, my family members are always there for me. I feel loved and accepted with my family.
 
 By the way, tell me more about your new classmate. What's her name? Where is she from? What does she look like? 
 
 That's all for now. Drop me a line.
 
 Best wishes,
 
 Polina",2.0,2.0,2.0,6
"Hello, Ralph
 
 Thanks for your recent e-mail.I'm always glad to get messages from you.
 
 In your recent e-mail you asked me about quarrels in my family. Well, if I were you, I would try to explain to dad that his behavior and actions hurt me. I think it might help to improve your relationship. Actually, I also have arguments with my family members from time to time. As a rule, we can't agree on sharing household chores, but we always find a compromise in the end. As for my family, they support me in any situation. My parents listen to me openly and help me to solve the problems. 
 
 By the way, tell me more about your new classmate. How does she look? How long has she been in your class ? Where have you invite her on a date ? 
 
 Sorry, I have to go now. Drop me a line. 
 
 Best wishes, 
 
 Milana",2.0,2.0,2.0,6
"Dear Ralph,
 
  Thanks a lot for your recent email! I’m always happy to get messages from you.
 
  In your email you ask me about my family. Well, I think all families have arguments, it’s OK. Actually, if I were you, I would try to discuss with your dad in quiet atmosphere without shoutings. By the way, I also have arguments with my family members, especially with my small sister. She always distracts me when I study, so I start quarelling with her. Despite the fact that I have arguments with my family members, they often support me when I have different problems.
 
  By the way, tell me more about your new classmate. What’s her name? What is she look like? What’s her favourite subject at school?
 
  Sorry, I have to go now. Drop me a line.
 
  Best wishes, 
 
  Arina",2.0,1.0,2.0,5
"Dear Ralph,
 
  Thanks for your recent e-mail. I'm always glad to get messages from you.
 
  In your e-mail you asked me about arguments with family members. Well, if I were you, I would to discuss the problem with father and try to find a compromise. Personally, sometimes I also have a disagreements with my relatives. All of us can have own point of view about some issues like day-to-day activities, education or anything else and not understand another one. Anyway, they are always ready to support me and give some advice, when I have problems.
 
 By the way, tell me more about your new classmate. What is her name? What is she like? What does the variety of her hobbies consist of?
 
  That's all for now. Drop me a line.
 
  Best wishes, 
 
  Ulyana",2.0,2.0,1.0,5
"Dear Ralph,
 
  Thanks for your recent e-mail. I'm always glad to get messages from you.
 
  In your e-mail you asked me about arguments with my family members. Well, I don't have any disagreements with them, because we listen to each other openly and understand different points of view. Besides, my parents always support me when I have problems. of you, I would talk with your dad. Talking can solve many problems.
 
  By the way, tell me more about your new classmate. What is her name? What does your classmate look like? What hobbies does she have?
 
  That's all for now. Drop me a line.
 
  Best wishes,
 
  Yulia",2.0,2.0,2.0,6
"Dear Ralph,
 
 Thanks for your last email. I was glad to hear from you again.
 
  (уже писала насчет этой фразочки, она абсолютно не нужна нам -> i your email you asked me about .... . Well, ...) I advise you to try to find a compromise with your father. I always have arguments with my family members too. Most of the time we quarrel because I don't do all the houshold chores. Even though my parents are authoritative, they often support me when I have problems. 
 
 In your email you told me about your new classmate. What's her name? How does she look like? Where is she from? + отлично! 
 
 Sorry, I need to go now. Keep in touch.
 
 With love,
 
 Adriana",2.0,2.0,2.0,6
"Dear Ralph, 
 
 Thanks a lot for your recent email. I'm always happy to get messages from you. 
 
 In your email you asked me about quarrel. Well, if I were you, I would just have a heart-to-heart talk with my dad, discussing our differences. Speaking of my family, we often argue because of different attitudes, but we always apologize and try to solve the problem. Certainly, my family support me if I have any problems. 
 
 By the way, tell me about your new classmate. What's her name? What does she look like? Where did she come from? 
 
 That's all for now. Drop me a line.
 
 All the best,
 
 Katya",2.0,2.0,2.0,6
"Dear Ralph
 
  Thanks you for your letter! I'm always happy to get email messages from you. Iwas busy and that's why I can answer only now. 
 
  In your letter you ask me such interesting questions about conflict in my family. Well, misunderstanding between parent and child is normal. If I was you, I would tell with father. Of course, I have arguments with my mom and dad, but we try to not do it. By the way, my parents always support me when I have any problems.
 
  I'm glad for you! Where is she frome? What is her opinion about your school? Did she accept your invitation?
 
  I need to finish, It's time to go to sleep.
 
  Write me soon.
 
  Best wishes,
 
  Anastasia",2.0,2.0,1.0,5
"Dear Ralph,
 
 Thanks a lot for your e-mail! It's always nice to hear from you. Hope you're doing well.
 
 In your e-mail you asked me about family conflicts. Well, if I were you, I would try to avoid a fight and talk normally. Lately I have been fighting with my parents a lot, mainly because of school. Unfortunately, I can't come to a common opinion with them. If I have problems with something they always help me, I'm really grateful to them for that
 
 By the way, you've mentioned your new classmate, tell me more about her! Is she pretty? What zodiac sign does she have? What's her name?
 
 Sorry, I have to go now. Write back soon!
 
 Lots of love, 
 
 Varya",2.0,2.0,1.0,5
"Dear Ralph,
Thanks for your recent email. I'm always glad to get messages from you.
In your email you asked me about arguments with family members. Well, if I was you, I would try to talk to him calmly after some time and try to make peace. Actually, I sometimes have arguments with my family members because they don't like my future profession. However, they always support me when I have problems. By the way, what is the name of your new classmate? How does she look like? Does she have any hobbies?
I'm sorry about to stop writing, it's high time.
Best wishes,
Arina",2.0,1.0,2.0,5
"Dear Ralph,
 Thanks for your message. I was very glad to hear from you.
 In your email you asked me about family. Well, I was in similar situation and understood your feelings. So, if I were you, I would try to be level-headed and make up with father. FrankIy, I often fall out with my parents and siblings because we don't have much in common and they sometimes pick on and tell me off. Unfortunately, my family doesn't support me in difficult times and I can't confide in them.
 By the way, tell me more about your new classmate. What is her name? What is your new classmate like? Is she nice?
 That's all for now. Drop me a line.
 Best wishes,
 Maria",2.0,2.0,1.0,5
"Dear Ralph,
 
  Thanks a lot for your recent email! I'm always glad to get messages from you.
 
  In your letter you asked me about my family. First, I want to help you to make up with your dad. If I were you, I would speak with him about this situation and ask to be more understanding. Tell him about your achievements. If you stay calm, it will helps you. It's usual for teenagers to have arguments with parents. I sometimes have quarrels with my mother, because she is always very picky! But she often supports me when I'm in trouble. My dad also helps me to deal with difficulties at school. 
 
  By the way, tell me more about your new classmate. What does she look like? Does she like her new school? Did she make friends here?
 
  That's all for now. 
 
  Best wishes,
 
  Alla",2.0,2.0,1.0,5
"Dear Ralph,
 
 Thanks, for your recent e-mail. I'm always glad to get messages from you.
 
 In your e-mail you asked me about dreams. Well, when I quarrel, I try to understand sb's point of view and find a compromise.
 
 By the way, tell me more about your new classmate. Unfortunately, I have arguments with my family members, because my parents very often don't understand my plans for my future career and moving to another country. Nevertheless, they always support and try to help me when I have problems.
 
 By the way, tell me more about your new classmate. How old is she? What is her hair colour? Is she tall or short?
 
 That's all for now. I helped my mom about the house. Drop me a line.
 
 Best wishes,
 
 Alyona",2.0,2.0,1.0,5
"Dear Ralph,+
 
 Thanks for your email. I was very glad to hear from you again.+
 
 In your email you asked me about my family.+ Well, If I were you, I'd talk with dad about this. I think he wants to help you to reach a success in your future.+/- Speaking about me, I rarely have arguments with my family members, because I try to watch myself and don't enter into arguments. +Besides, my parents always support me, when I face to the problem. +
 
 By the way, I'd like to know more about your new classmate. + How old is she?+ Where is she from?+ What does she like? -
 
 Well, I'm sorry. I need to go now. I have a lof of homework to do. Write back soon. +
 
 Best wishes,+
 
 Sasha+",1.0,2.0,2.0,5
"Dear Ralph,
 
 Thanks for your recent email and sorry for the long silence. I was glad to hear from you again.
 
 In your email you asked me about family. Well, if I were you, I would chill out because your emotions are clouding your judgment. Try to have an open conversation with your dad and find a compromise. As for me, I don't usually argue with my parents because we talk and listen to each other's points of view. Fortunately, my parents support me when I’m down in the dumps. They are always on my side and I know they will definitely help me.
 
 I’d like to know more about your new classmate. What is her name? How does she look like? Is she older or younger than you?
 
 Anyway, I have to go to finish my homework. Write back soon.
 
 Best wishes,
 
 Lada",2.0,1.0,2.0,5
"Dear Ralph, 
 
  Thanks a lot for your recent email! I'm always happy to get messages from you.
 
  In your email you asked me about family. Well, if I were you, I would talk to dad and make peace with him. As for my family members, we have arguments, because sometimes we don't understand each other and we have different opinions. However, we always try to resolve the conflict. Despite some misunderstanding, my family members always support me when I have problems. 
 
  By the way, tell me more about your new classmate. What does she look like? Does she like your school? Did she make friends in your class?
 
  Sorry, I have to go now. Write back soon.
 
  Best wishes,
 
  Anastasia",2.0,2.0,2.0,6
"Dear Ralph, +
 
 Thanks a lot for your email. I'm always happy to get messages from you. +
 
 In your letter you asked me about conflicts with my parents. Well, I have arguments with my family members because in some situations we have different opinions. + Sometimes it happens because of a bad and stubborn mood. In such situations we have the golden rule: we listen openly and we are looking for a compromise in everything. Mostly, they support me when I have problems. In such situations my parents give me valuable advices.
 
 By the way , tell me more about your new classmate. Is she sociable or not? What color is her hair?What is she look like?
 
 Sorry, I have to go now. Drop me a line. +
 
 Best wishes, +
 
 Kate +",2.0,1.0,1.0,4
"Dear Andy,+
 
 Thanks for your email. I hope you are doing well. +
 
 In your email you ask me about family conflicts. +/-So, if I would you, I were try to understand father's point of view and find a compromise. +/-To tell the truth, I sometimes have an argument with my parents. We often quarreled with my sister because of our household chores.+ However, I know, she and my parents always support me, try to understand my feelings and help with a problems. +
 
 Anyway, you mentioned a new classmate. How old is your new classmate?+ What hobby does she have?+ What does she look like?+
 
 Now I finish my email, I must help my granddad.+
 
 Write back soon.+
 
 Love,+
 
 Anastasia+",1.0,2.0,1.0,4
"Dear Ralph,
  Thanks for your recent e-mail. I’m always glad to get messages from you.
  In your e-mail you asked me about family relationships. Well, If I were you, I would try to find a quiet moment to have another sincere conversation with my father. It's important to express feelings and concerns, but also to listen to the other person's point of view. Luckily, I rarely have arguments with my family members and usually about little things. Besides, they always help me, I can turn for advice at any time when I have problems. I think they aren’t only my parents but also my close friends.
  By the way, tell me more about your new classmate. What's her name? What does she look like? Is she an outgoing person?
  That’s all for now. Drop me a line.
  Best wishes,
  Lilia",2.0,1.0,2.0,5
